Meal,Grams,Calories
Chicken Noodle Soup,248,62
Chicken Stock,244,39
Chicken Vegetable Soup,248,77
Chicken with Rice Soup,243,58
Cream of Asparagus Soup,244,85
Cream of Broccoli Soup,310,140
Cream of Celery Soup,248,92
Cream of Chicken Soup,244,117
Cream of Mushroom Soup,248,97
Cream of Onion Soup,244,107
Cream of Potato Soup,244,73
Creamy Chicken Noodle Soup,245,56
French Onion Soup,243,56
Golden Mushroom Soup,248,161
Goulash,187,1887
Instant Ramen,85,371
Lentil Soup,248,139
Lobster Bisque Soup,248,248
Meatball Soup,245,120
Minestrone,241,82
Mushroom Soup,244,85
Noodle Soup,244,83
Onion Soup,243,56
Oxtail Soup,244,68
Pea Soup,253,190
Potato Soup,240,192
Pumpkin Soup,245,71
Ramen,85,371
Scotch Broth,241,80
Succotash,192,221
Thai Soup,245,147
Tomato Rice Soup,247,116
Tomato Soup,248,74
Vegetable Beef Soup,244,76
Vegetable Broth,235,12
Vegetable Soup,241,67
Vegetable Stock,235,12
Wedding Soup,245,130
Baskin-Robbins,71,170
Ben and Jerry's,92,210
Butter Pecan Ice Cream,113,280
Carvel,212,449
Chocolate Chip Ice Cream,72,155
Chocolate Ice Cream,72,156
Ciao Bella,220,240
Coffee Ice Cream,72,170
Cold Stone Creamery,142,329
Cookie Dough Ice Cream,65,130
Crunchie McFlurry,183,318
Dairy Milk McFlurry,183,340
Dippin Dots,170,381
Double Rainbow,72,185
Drumsticks,141,360
French Vanilla Ice Cream,72,145
Friendly's,66,140
Healthy Choice,64,80
Hot Fudge Sundae,179,333
Ice Cream Sandwich,112,265
Ice Cream Sundae,178,253
Ice Milk,103,164
Magnolia,72,166
Magnum,86,258
Magnum Almond,86,271
Magnum Double Caramel,86,305
Magnum Double Chocolate,86,327
Magnum Gold,85,290
Magnum White,86,255
McFlurry,134,205
McFlurry Oreo,183,340
Mini Milk,25,30
Mint Chocolate Chip Ice Cream,72,172
Rocky Road Ice Cream,113,290
Schwan's,72,177
Smarties McFlurry,202,400
Snickers Ice Cream,50,180
Soft Serve,86,191
Solero,75,75
Strawberry Ice Cream,72,170
Strawberry Sundae,178,281
Sundae,72,155
Turkey Hill,70,190
Vanilla Cone,142,230
Vanilla Ice Cream,72,145
Cannelloni,56,82
Capellini,56,198
Cappelletti,56,92
Cellophane Noodles,140,491
Cheese Tortellini,113,329
Dampfnudel,85,233
Dumpling Dough,56,55
Durum Wheat Semolina,56,222
Egg Noodles,38,146
Farfalle,56,200
Fettuccine,56,198
Fusilli,56,197
Glass Noodles,56,108
Lasagne Sheets,21,57
Linguine,56,200
Low Carb Pasta,56,158
Macaroni,114,422
Manicotti,56,200
Mostaccioli,56,103
Orecchiette,56,207
Orzo,56,200
Penne,56,197
Penne Rigate,56,207
Pierogi,100,200
Ravioli,56,43
Rigatoni,56,198
Rotini,56,198
Shells,85,300
Shirataki Noodles,56,10
Soy Noodles,56,121
Spaetzle,56,206
Spaghetti,56,207
Spinach Tortellini,102,320
Spirelli,56,206
Tagliatelle,56,207
Tortellini,113,329
Vermicelli,56,206
Whole Grain Noodles,56,194
Whole Grain Spaghetti,56,197
Ziti,56,197
BBQ Chicken Pizza,132,309
BBQ Pizza,140,314
Beef Pizza,235,714
Bianca Pizza,187,460
Buffalo Chicken Pizza,238,600
Calabrese Pizza,108,254
Calzone,364,841
Capricciosa Pizza,74,192
Cheese Pizza,63,168
Chicken Pizza,132,309
Deep Dish Pizza,118,313
Dominos Philly Cheese Steak Pizza,159,356
Four Cheese Pizza,113,250
Goat Cheese Pizza,63,138
Grilled Pizza,124,280
Hawaiian Pizza,134,154
Margherita Pizza,63,173
Mozzarella Pizza,62,154
Mushroom Pizza,288,611
Napoli Pizza,123,248
New York Style Pizza,103,174
Pepperoni Pizza,71,181
Pizza Dough,57,130
Pizza Hut Stuffed Crust Pizza,149,380
Pizza Hut Supreme Pizza,123,305
Pizza Rolls,14,35
Quattro Formaggi Pizza,133,330
Red Pepper Pizza,86,165
Salami Pizza,71,181
Sausage Pizza,72,177
Seafood Pizza,76,186
Shrimp Pizza,91,190
Sicilian Pizza,133,321
Spinach Feta Pizza,62,150
